scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,61,402583,True,2.6921398269370433,0.0851329363277258,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.264006079492611,0.0004000000000000001,0.587476198675121,7.958667755126953,
null,null,0.0,62,302088,False,0.32583152123292775,0.010303697405735664,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29334452429507185,0.00019999999999999998,0.587476198675121,7.963751316070557,
location_shift,Y = X + theta e1,0.1,62,402584,True,1.2502232793169388,0.03953553146406407,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2885405986177005,0.0004000000000000001,0.587476198675121,7.95893669128418,
location_shift,Y = X + theta e1,0.25,62,402585,True,2.7793228104346572,0.08788990433833913,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26642170258486064,0.00019999999999999998,0.587476198675121,7.962997913360596,
location_shift,Y = X + theta e1,0.5,62,402586,True,6.086538587433457,0.19247325002793628,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.16170115062216378,0.00019999999999999998,0.587476198675121,8.114047765731812,
scale,Y = (1 + theta) X,0.1,62,402587,False,0.473478154096021,0.014972693892756087,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2901776825063845,0.0004000000000000001,0.587476198675121,7.9607322216033936,
scale,Y = (1 + theta) X,0.25,62,402588,True,0.9325889318598174,0.029491051453405914,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.272806292653688,0.0004000000000000001,0.587476198675121,7.95702338218689,
scale,Y = (1 + theta) X,0.5,62,402589,True,1.8611331580212542,0.058854198082092385,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21442234543483055,0.00019999999999999998,0.587476198675121,7.960718154907227,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,62,402590,True,0.7821514900415789,0.024733801838258955,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29037942506744857,0.00039999999999999996,0.587476198675121,7.955487966537476,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,62,402591,True,1.2622866370214199,0.03991700832981908,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28578544437755365,0.00019999999999999998,0.587476198675121,8.037779569625854,
